,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Key,Y
16,48.0,4.0,36.0,6.0,2.0,3.0,30367.0,2362.0,28005.0,1.7080000000000002,1671.0,27.0,0.929,0.078,Existing Customer,M,Post-Graduate,Single,$80K - $120K,Blue,17,0.99976
17,41.0,3.0,34.0,4.0,4.0,1.0,13535.0,1291.0,12244.0,0.653,1028.0,21.0,1.625,0.095,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,18,0.99985
18,61.0,1.0,56.0,2.0,2.0,3.0,3193.0,2517.0,676.0,1.831,1336.0,30.0,1.143,0.7879999999999999,Existing Customer,M,High School,Married,$40K - $60K,Blue,19,0.9998299999999999
19,45.0,2.0,37.0,6.0,1.0,2.0,14470.0,1157.0,13313.0,0.966,1207.0,21.0,0.909,0.08,Existing Customer,F,Graduate,Married,Unknown,Blue,20,0.9999399999999999
20,47.0,1.0,42.0,5.0,2.0,0.0,20979.0,1800.0,19179.0,0.9059999999999999,1178.0,27.0,0.929,0.086,Existing Customer,M,Doctorate,Divorced,$60K - $80K,Blue,21,0.9999399999999999
21,62.0,0.0,49.0,2.0,3.0,3.0,1438.3,0.0,1438.3,1.047,692.0,16.0,0.6,0.0,Attrited Customer,F,Graduate,Married,Less than $40K,Blue,22,0.0038363
22,41.0,3.0,33.0,4.0,2.0,1.0,4470.0,680.0,3790.0,1.608,931.0,18.0,1.571,0.152,Existing Customer,M,High School,Married,$40K - $60K,Blue,23,0.9999299999999999
23,47.0,4.0,36.0,3.0,3.0,2.0,2492.0,1560.0,932.0,0.573,1126.0,23.0,0.353,0.626,Existing Customer,F,Unknown,Single,Less than $40K,Blue,24,0.99979
24,54.0,2.0,42.0,4.0,2.0,3.0,12217.0,0.0,12217.0,1.075,1110.0,21.0,0.75,0.0,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,25,0.99979
25,41.0,3.0,28.0,6.0,1.0,2.0,7768.0,1669.0,6099.0,0.797,1051.0,22.0,0.833,0.215,Existing Customer,F,Graduate,Single,Less than $40K,Blue,26,0.9999399999999999
26,59.0,1.0,46.0,4.0,1.0,2.0,14784.0,1374.0,13410.0,0.9209999999999999,1197.0,23.0,1.3,0.09300000000000001,Existing Customer,M,High School,Unknown,$40K - $60K,Blue,27,0.99995
27,63.0,1.0,56.0,3.0,3.0,2.0,10215.0,1010.0,9205.0,0.843,1904.0,40.0,1.0,0.099,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,28,0.9998100000000001
28,44.0,3.0,34.0,5.0,2.0,2.0,10100.0,0.0,10100.0,0.525,1052.0,18.0,1.571,0.0,Existing Customer,F,Uneducated,Single,Unknown,Blue,29,0.9998799999999999
29,47.0,4.0,42.0,6.0,0.0,0.0,4785.0,1362.0,3423.0,0.7390000000000001,1045.0,38.0,0.9,0.285,Existing Customer,M,High School,Married,$40K - $60K,Blue,30,0.9999899999999999
30,53.0,3.0,33.0,3.0,2.0,3.0,2753.0,1811.0,942.0,0.977,1038.0,25.0,2.571,0.6579999999999999,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,31,0.9997799999999999
31,53.0,2.0,48.0,2.0,5.0,1.0,2451.0,1690.0,761.0,1.3230000000000002,1596.0,26.0,1.6,0.69,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,32,0.9998799999999999
32,41.0,4.0,36.0,4.0,1.0,2.0,8923.0,2517.0,6406.0,1.726,1589.0,24.0,1.6669999999999998,0.282,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,33,0.9999399999999999
33,53.0,2.0,38.0,5.0,2.0,3.0,2650.0,1490.0,1160.0,1.75,1411.0,28.0,1.0,0.562,Existing Customer,F,College,Married,Less than $40K,Blue,34,0.9998100000000001
34,58.0,0.0,49.0,6.0,2.0,2.0,12555.0,1696.0,10859.0,0.519,1291.0,24.0,0.7140000000000001,0.135,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,35,0.9999
35,55.0,1.0,36.0,4.0,2.0,1.0,3520.0,1914.0,1606.0,0.51,1407.0,43.0,0.483,0.544,Existing Customer,F,College,Single,Less than $40K,Blue,36,0.9999399999999999
36,55.0,3.0,36.0,6.0,2.0,3.0,3035.0,2298.0,737.0,1.724,1877.0,37.0,1.176,0.757,Existing Customer,F,Graduate,Married,Less than $40K,Blue,37,0.9998
37,42.0,4.0,36.0,2.0,3.0,3.0,15433.0,0.0,15433.0,0.865,966.0,22.0,1.2,0.0,Existing Customer,F,High School,Married,Less than $40K,Gold,38,0.99964
38,57.0,1.0,49.0,3.0,3.0,2.0,3672.0,886.0,2786.0,1.32,1464.0,28.0,0.556,0.24100000000000002,Existing Customer,F,Graduate,Unknown,$40K - $60K,Blue,39,0.9998299999999999
39,66.0,0.0,56.0,5.0,4.0,3.0,7882.0,605.0,7277.0,1.052,704.0,16.0,0.14300000000000002,0.077,Attrited Customer,F,Doctorate,Married,Unknown,Blue,40,0.00219708
40,45.0,3.0,41.0,2.0,2.0,2.0,32426.0,578.0,31848.0,1.042,1109.0,28.0,0.474,0.018000000000000002,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,41,0.9998799999999999
41,51.0,2.0,44.0,4.0,1.0,0.0,6205.0,2204.0,4001.0,0.8029999999999999,1347.0,28.0,0.556,0.355,Existing Customer,M,Unknown,Married,$40K - $60K,Blue,42,0.99998
42,50.0,1.0,43.0,3.0,2.0,3.0,17304.0,2517.0,14787.0,1.449,1756.0,33.0,1.2,0.145,Existing Customer,F,College,Single,$40K - $60K,Silver,43,0.99984
43,49.0,3.0,37.0,5.0,2.0,1.0,3906.0,0.0,3906.0,1.214,1756.0,32.0,1.0,0.0,Existing Customer,M,High School,Married,$60K - $80K,Blue,44,0.9999299999999999
44,38.0,4.0,28.0,2.0,3.0,3.0,9830.0,2055.0,7775.0,0.977,1042.0,23.0,0.917,0.209,Existing Customer,F,Graduate,Single,Unknown,Blue,45,0.9996799999999999
45,49.0,4.0,30.0,3.0,2.0,3.0,34516.0,0.0,34516.0,1.621,1444.0,28.0,1.3330000000000002,0.0,Existing Customer,M,Uneducated,Single,$80K - $120K,Blue,46,0.99979
46,56.0,2.0,45.0,6.0,2.0,0.0,2283.0,1430.0,853.0,2.316,1741.0,27.0,0.588,0.626,Existing Customer,M,Doctorate,Married,$60K - $80K,Blue,47,0.9999399999999999
47,59.0,1.0,52.0,3.0,2.0,2.0,2548.0,2020.0,528.0,2.3569999999999998,1719.0,27.0,1.7,0.7929999999999999,Existing Customer,M,Doctorate,Married,$40K - $60K,Blue,48,0.99985
48,46.0,3.0,40.0,4.0,3.0,3.0,19458.0,1435.0,18023.0,0.787,1217.0,27.0,0.8,0.07400000000000001,Existing Customer,M,High School,Married,$80K - $120K,Blue,49,0.99969
49,52.0,1.0,40.0,5.0,1.0,1.0,4745.0,1227.0,3518.0,0.624,1140.0,40.0,0.6,0.259,Existing Customer,M,College,Single,$80K - $120K,Blue,50,0.99997
50,52.0,3.0,41.0,6.0,3.0,2.0,2622.0,1549.0,1073.0,1.321,1878.0,30.0,1.143,0.591,Existing Customer,F,Unknown,Married,Less than $40K,Blue,51,0.99979
51,54.0,1.0,40.0,2.0,3.0,1.0,1438.3,808.0,630.3,0.997,705.0,19.0,0.9,0.562,Attrited Customer,F,Graduate,Married,Less than $40K,Blue,52,0.00972
52,66.0,0.0,54.0,3.0,4.0,2.0,3171.0,2179.0,992.0,1.224,1946.0,38.0,1.923,0.687,Existing Customer,F,High School,Married,Less than $40K,Blue,53,0.99982
53,49.0,2.0,36.0,4.0,2.0,0.0,19763.0,2517.0,17246.0,0.664,1414.0,35.0,0.25,0.127,Existing Customer,M,Unknown,Married,$120K +,Blue,54,0.99995
54,56.0,2.0,36.0,1.0,3.0,3.0,15769.0,0.0,15769.0,1.041,602.0,15.0,0.364,0.0,Attrited Customer,M,Graduate,Married,$120K +,Blue,55,0.00329379
55,49.0,4.0,36.0,6.0,4.0,2.0,3298.0,2200.0,1098.0,0.6779999999999999,1052.0,32.0,0.6,0.667,Existing Customer,F,Graduate,Unknown,Less than $40K,Blue,56,0.99977
56,49.0,3.0,36.0,2.0,2.0,0.0,2802.0,2363.0,439.0,0.75,1295.0,40.0,0.6,0.843,Existing Customer,F,Graduate,Single,Less than $40K,Blue,57,0.9999600000000001
57,56.0,2.0,50.0,4.0,2.0,3.0,4458.0,1880.0,2578.0,1.107,1424.0,29.0,1.4169999999999998,0.42200000000000004,Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,58,0.9998
58,44.0,5.0,35.0,4.0,1.0,2.0,6273.0,978.0,5295.0,2.275,1359.0,25.0,1.083,0.156,Existing Customer,F,Graduate,Married,Unknown,Blue,59,0.9999399999999999
59,42.0,2.0,34.0,4.0,4.0,3.0,3336.0,1753.0,1583.0,0.69,1168.0,27.0,1.25,0.525,Existing Customer,M,High School,Single,$60K - $80K,Blue,60,0.99964
60,55.0,3.0,47.0,4.0,2.0,3.0,3436.0,2016.0,1420.0,0.9009999999999999,1097.0,33.0,0.833,0.5870000000000001,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,61,0.9997799999999999
61,48.0,2.0,35.0,2.0,4.0,4.0,34516.0,0.0,34516.0,0.763,691.0,15.0,0.5,0.0,Attrited Customer,M,Graduate,Married,$60K - $80K,Silver,62,0.00177065
62,39.0,1.0,33.0,5.0,3.0,3.0,5926.0,1251.0,4675.0,0.9440000000000001,1316.0,28.0,1.1540000000000001,0.21100000000000002,Existing Customer,M,High School,Divorced,$60K - $80K,Blue,63,0.99972
63,44.0,4.0,32.0,2.0,4.0,2.0,23957.0,2102.0,21855.0,0.997,1276.0,26.0,0.733,0.08800000000000001,Existing Customer,M,Post-Graduate,Single,$120K +,Blue,64,0.9997299999999999
64,53.0,2.0,44.0,4.0,2.0,2.0,14734.0,1634.0,13100.0,0.9890000000000001,1289.0,23.0,0.917,0.111,Existing Customer,M,High School,Single,$120K +,Blue,65,0.99989
65,51.0,4.0,38.0,4.0,1.0,4.0,34516.0,1515.0,33001.0,0.5920000000000001,1293.0,32.0,0.6,0.044000000000000004,Existing Customer,M,Uneducated,Single,$80K - $120K,Silver,66,0.99985
66,57.0,2.0,52.0,5.0,3.0,3.0,6584.0,1817.0,4767.0,0.62,1353.0,35.0,0.667,0.276,Existing Customer,M,College,Married,$60K - $80K,Blue,67,0.99971
67,44.0,2.0,20.0,6.0,3.0,3.0,2084.0,1468.0,616.0,1.004,1132.0,28.0,0.556,0.7040000000000001,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,68,0.99969
68,49.0,2.0,32.0,2.0,2.0,2.0,1687.0,1107.0,580.0,1.715,1670.0,17.0,2.4,0.6559999999999999,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,69,0.99989
69,50.0,2.0,38.0,6.0,2.0,2.0,25300.0,1330.0,23970.0,1.072,837.0,15.0,2.0,0.053,Existing Customer,M,Doctorate,Married,$80K - $120K,Blue,70,0.99984
70,51.0,4.0,42.0,3.0,2.0,3.0,34516.0,1763.0,32753.0,1.266,1550.0,41.0,1.05,0.051,Existing Customer,M,Graduate,Single,$120K +,Blue,71,0.9998
71,55.0,2.0,42.0,5.0,3.0,3.0,2216.0,1034.0,1182.0,0.758,1540.0,36.0,0.28600000000000003,0.467,Existing Customer,F,Graduate,Married,Less than $40K,Blue,72,0.9997
72,54.0,1.0,43.0,4.0,2.0,3.0,2910.0,2030.0,880.0,0.769,1256.0,21.0,0.4,0.698,Existing Customer,M,Graduate,Unknown,$60K - $80K,Blue,73,0.99982
73,42.0,5.0,37.0,6.0,2.0,2.0,22913.0,1528.0,21385.0,0.414,1394.0,35.0,0.522,0.067,Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,74,0.9998799999999999
74,44.0,1.0,35.0,3.0,3.0,3.0,24312.0,1932.0,22380.0,1.3119999999999998,1341.0,24.0,1.182,0.079,Existing Customer,M,College,Single,$60K - $80K,Blue,75,0.99972
75,53.0,2.0,36.0,5.0,3.0,2.0,5272.0,1515.0,3757.0,0.857,1289.0,33.0,0.435,0.287,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,76,0.99982
76,44.0,4.0,36.0,6.0,4.0,2.0,7000.0,2517.0,4483.0,0.475,1112.0,23.0,1.875,0.36,Existing Customer,F,Graduate,Single,Less than $40K,Blue,77,0.99977
77,37.0,3.0,29.0,4.0,4.0,2.0,7038.0,1801.0,5237.0,0.7509999999999999,2339.0,57.0,0.966,0.256,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,78,0.99977
78,49.0,3.0,30.0,6.0,1.0,2.0,2536.0,1823.0,713.0,0.703,1468.0,23.0,0.353,0.7190000000000001,Existing Customer,M,Graduate,Divorced,$60K - $80K,Blue,79,0.9999399999999999
79,47.0,2.0,38.0,6.0,3.0,2.0,28904.0,1899.0,27005.0,0.85,1334.0,35.0,0.4,0.066,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,80,0.99982
80,47.0,3.0,37.0,4.0,4.0,0.0,8567.0,1695.0,6872.0,1.242,1457.0,41.0,1.412,0.198,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,81,0.99992
81,44.0,1.0,36.0,6.0,2.0,2.0,34516.0,1533.0,32983.0,0.924,1603.0,29.0,0.526,0.044000000000000004,Existing Customer,M,Unknown,Unknown,$120K +,Blue,82,0.9998799999999999
82,55.0,4.0,45.0,2.0,4.0,3.0,2158.0,0.0,2158.0,0.585,615.0,12.0,0.7140000000000001,0.0,Attrited Customer,F,Unknown,Married,$40K - $60K,Blue,83,0.00236635
83,59.0,1.0,52.0,2.0,3.0,3.0,10133.0,1417.0,8716.0,0.38299999999999995,1068.0,20.0,0.818,0.14,Existing Customer,F,Graduate,Married,Unknown,Blue,84,0.99972
84,53.0,1.0,35.0,5.0,4.0,2.0,34516.0,1219.0,33297.0,1.129,1590.0,27.0,2.0,0.035,Existing Customer,M,Graduate,Divorced,$80K - $120K,Blue,85,0.9998
85,52.0,2.0,47.0,5.0,3.0,0.0,3085.0,1910.0,1175.0,0.9209999999999999,1531.0,35.0,0.667,0.619,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,86,0.9999299999999999
86,53.0,2.0,35.0,4.0,2.0,1.0,19040.0,2056.0,16984.0,0.607,1212.0,31.0,0.722,0.10800000000000001,Existing Customer,M,High School,Single,$120K +,Blue,87,0.9999299999999999
87,43.0,3.0,35.0,5.0,2.0,3.0,4026.0,0.0,4026.0,0.483,1237.0,32.0,0.6,0.0,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,88,0.9998
88,44.0,3.0,31.0,4.0,3.0,1.0,12756.0,837.0,11919.0,1.932,1413.0,14.0,1.8,0.066,Existing Customer,M,High School,Single,$60K - $80K,Blue,89,0.99989
89,57.0,2.0,45.0,5.0,3.0,3.0,5266.0,0.0,5266.0,1.702,1516.0,29.0,1.636,0.0,Existing Customer,M,Unknown,Married,$120K +,Blue,90,0.9996700000000001
90,51.0,2.0,36.0,3.0,2.0,2.0,9930.0,0.0,9930.0,0.731,1276.0,21.0,1.3330000000000002,0.0,Existing Customer,F,High School,Single,Less than $40K,Blue,91,0.99989
91,49.0,4.0,38.0,4.0,3.0,0.0,31302.0,1953.0,29349.0,0.875,1564.0,35.0,2.182,0.062,Existing Customer,M,High School,Single,$80K - $120K,Blue,92,0.9999299999999999
92,45.0,1.0,36.0,4.0,4.0,3.0,6576.0,0.0,6576.0,0.579,1465.0,34.0,0.619,0.0,Existing Customer,M,Graduate,Single,$40K - $60K,Blue,93,0.99966
93,53.0,0.0,42.0,5.0,4.0,1.0,2664.0,2037.0,627.0,0.85,1286.0,29.0,0.9329999999999999,0.765,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,94,0.99989
94,45.0,3.0,28.0,5.0,1.0,2.0,2535.0,2440.0,95.0,1.705,1312.0,20.0,1.222,0.963,Existing Customer,F,Unknown,Married,Unknown,Blue,95,0.9999399999999999
95,64.0,1.0,52.0,6.0,4.0,3.0,1709.0,895.0,814.0,1.656,1673.0,32.0,0.882,0.524,Existing Customer,M,Graduate,Married,Less than $40K,Blue,96,0.99966
96,45.0,3.0,35.0,5.0,4.0,2.0,3454.0,1200.0,2254.0,0.597,1313.0,30.0,0.304,0.34700000000000003,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,97,0.99977
97,53.0,3.0,35.0,5.0,3.0,2.0,3789.0,1706.0,2083.0,1.047,1609.0,42.0,0.68,0.45,Existing Customer,M,Doctorate,Married,$40K - $60K,Blue,98,0.9997299999999999
98,56.0,3.0,50.0,3.0,2.0,0.0,9689.0,2250.0,7439.0,0.5760000000000001,1158.0,19.0,0.727,0.23199999999999998,Existing Customer,M,College,Married,$120K +,Blue,99,0.9999600000000001
99,47.0,2.0,37.0,2.0,3.0,3.0,5449.0,1628.0,3821.0,0.696,836.0,18.0,0.385,0.299,Attrited Customer,M,Unknown,Married,$80K - $120K,Blue,100,0.00299743
100,49.0,3.0,43.0,4.0,4.0,0.0,23032.0,1960.0,21072.0,0.619,1289.0,22.0,1.0,0.085,Existing Customer,F,College,Single,Unknown,Blue,101,0.99992
101,41.0,3.0,34.0,5.0,3.0,3.0,34516.0,2053.0,32463.0,1.034,1487.0,26.0,0.733,0.059000000000000004,Existing Customer,F,Unknown,Married,Unknown,Silver,102,0.99969
102,53.0,3.0,34.0,6.0,2.0,2.0,2940.0,1264.0,1676.0,0.562,1259.0,33.0,0.5,0.43,Existing Customer,M,Graduate,Married,$120K +,Blue,103,0.9998799999999999
103,44.0,2.0,32.0,3.0,3.0,3.0,3031.0,1879.0,1152.0,0.7879999999999999,1298.0,15.0,1.5,0.62,Existing Customer,F,Graduate,Single,Less than $40K,Blue,104,0.9997
104,44.0,3.0,25.0,3.0,3.0,0.0,1862.0,0.0,1862.0,0.883,1226.0,34.0,0.789,0.0,Existing Customer,M,High School,Unknown,$60K - $80K,Blue,105,0.9999299999999999
105,43.0,4.0,33.0,2.0,3.0,3.0,8358.0,926.0,7432.0,0.762,1566.0,37.0,0.542,0.111,Existing Customer,F,Post-Graduate,Married,Less than $40K,Blue,106,0.9996299999999999
106,53.0,2.0,36.0,6.0,1.0,2.0,34516.0,931.0,33585.0,0.828,1022.0,21.0,1.1,0.027000000000000003,Existing Customer,M,Post-Graduate,Single,$120K +,Blue,107,0.9999399999999999
107,44.0,1.0,36.0,5.0,2.0,3.0,14450.0,2440.0,12010.0,1.2830000000000001,1235.0,30.0,0.667,0.16899999999999998,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,108,0.99982
108,62.0,1.0,56.0,6.0,0.0,0.0,1438.3,0.0,1438.3,0.813,1951.0,44.0,1.095,0.0,Existing Customer,F,Unknown,Married,Less than $40K,Blue,109,0.9999899999999999
109,54.0,4.0,36.0,6.0,3.0,2.0,33791.0,1960.0,31831.0,0.618,1047.0,31.0,0.8240000000000001,0.057999999999999996,Existing Customer,M,Unknown,Divorced,$120K +,Blue,110,0.99979
110,57.0,4.0,39.0,4.0,3.0,0.0,8466.0,1886.0,6580.0,0.56,1342.0,32.0,0.391,0.223,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,111,0.9999299999999999
111,42.0,3.0,36.0,5.0,3.0,3.0,15088.0,865.0,14223.0,0.9390000000000001,1107.0,21.0,1.625,0.057,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,112,0.99965
112,42.0,4.0,36.0,5.0,1.0,2.0,3263.0,1674.0,1589.0,0.588,1251.0,35.0,0.34600000000000003,0.513,Existing Customer,M,High School,Divorced,$60K - $80K,Blue,113,0.9999399999999999
113,54.0,0.0,36.0,2.0,2.0,2.0,1494.0,706.0,788.0,1.6740000000000002,1305.0,24.0,3.0,0.473,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,114,0.9999
114,48.0,3.0,35.0,6.0,1.0,0.0,13551.0,1294.0,12257.0,0.7909999999999999,1388.0,37.0,1.056,0.095,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,115,0.99998
115,49.0,1.0,36.0,6.0,2.0,2.0,18886.0,895.0,17991.0,1.8259999999999998,1235.0,18.0,1.571,0.047,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,116,0.99989
116,52.0,3.0,48.0,3.0,2.0,0.0,11976.0,1273.0,10703.0,1.024,2089.0,36.0,1.1179999999999999,0.106,Existing Customer,M,High School,Unknown,$80K - $120K,Blue,117,0.9999600000000001
117,50.0,3.0,39.0,4.0,1.0,4.0,9964.0,1559.0,8405.0,1.8730000000000002,1626.0,25.0,0.7859999999999999,0.156,Existing Customer,M,High School,Single,$80K - $120K,Blue,118,0.99984
118,49.0,1.0,36.0,4.0,6.0,3.0,24159.0,1196.0,22963.0,0.7120000000000001,1111.0,24.0,1.0,0.05,Existing Customer,M,Doctorate,Married,$60K - $80K,Blue,119,0.9996799999999999
119,53.0,2.0,44.0,3.0,2.0,3.0,5362.0,1901.0,3461.0,0.816,1553.0,38.0,1.0,0.355,Existing Customer,F,High School,Married,Less than $40K,Blue,120,0.9998100000000001
120,50.0,2.0,36.0,3.0,2.0,2.0,34516.0,1023.0,33493.0,1.004,1064.0,13.0,0.625,0.03,Existing Customer,M,Graduate,Single,$120K +,Blue,121,0.99989
121,55.0,1.0,36.0,4.0,1.0,0.0,3174.0,1951.0,1223.0,0.7659999999999999,1243.0,29.0,0.611,0.615,Existing Customer,F,Doctorate,Married,Less than $40K,Blue,122,0.99997
122,53.0,1.0,47.0,3.0,2.0,2.0,12262.0,1836.0,10426.0,1.584,1659.0,38.0,1.5330000000000001,0.15,Existing Customer,M,High School,Married,$80K - $120K,Blue,123,0.9999
123,47.0,3.0,41.0,4.0,3.0,3.0,3788.0,1540.0,2248.0,0.5660000000000001,1594.0,47.0,0.382,0.40700000000000003,Existing Customer,F,High School,Single,$40K - $60K,Blue,124,0.99969
124,55.0,2.0,42.0,2.0,3.0,2.0,34516.0,1527.0,32989.0,0.526,1268.0,42.0,0.355,0.044000000000000004,Existing Customer,M,College,Single,$120K +,Silver,125,0.99984
125,47.0,3.0,36.0,4.0,2.0,2.0,2926.0,0.0,2926.0,0.6759999999999999,1304.0,24.0,0.846,0.0,Existing Customer,M,Graduate,Single,$60K - $80K,Blue,126,0.9998799999999999
126,58.0,4.0,52.0,6.0,1.0,0.0,32090.0,0.0,32090.0,0.5670000000000001,1368.0,30.0,0.364,0.0,Existing Customer,M,Graduate,Single,$120K +,Blue,127,0.99998
127,53.0,2.0,41.0,3.0,3.0,2.0,11669.0,2227.0,9442.0,0.622,720.0,23.0,0.353,0.191,Attrited Customer,M,Graduate,Married,$80K - $120K,Blue,128,0.005529999999999999
128,52.0,2.0,45.0,3.0,1.0,2.0,13532.0,1300.0,12232.0,0.846,1521.0,29.0,1.4169999999999998,0.096,Existing Customer,M,High School,Single,$40K - $60K,Blue,129,0.99995
129,50.0,1.0,36.0,4.0,2.0,2.0,11888.0,2090.0,9798.0,0.7,1137.0,30.0,0.765,0.17600000000000002,Existing Customer,F,Uneducated,Unknown,Less than $40K,Silver,130,0.9999
130,42.0,1.0,36.0,5.0,1.0,2.0,2393.0,1985.0,408.0,0.7879999999999999,978.0,16.0,0.778,0.83,Existing Customer,F,Graduate,Married,Less than $40K,Blue,131,0.99995
131,43.0,4.0,39.0,5.0,1.0,2.0,6111.0,2517.0,3594.0,0.632,1221.0,16.0,2.2,0.41200000000000003,Existing Customer,M,Unknown,Married,$40K - $60K,Blue,132,0.9999399999999999
132,57.0,4.0,46.0,3.0,2.0,3.0,19270.0,1662.0,17608.0,1.186,1565.0,28.0,1.545,0.086,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,133,0.9998
133,52.0,1.0,43.0,3.0,1.0,4.0,3710.0,2517.0,1193.0,1.541,1578.0,34.0,0.7,0.6779999999999999,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,134,0.99985
134,47.0,2.0,37.0,2.0,1.0,3.0,3235.0,797.0,2438.0,0.541,1493.0,32.0,1.0,0.24600000000000002,Existing Customer,M,Doctorate,Single,Less than $40K,Blue,135,0.99987
135,44.0,3.0,38.0,3.0,1.0,0.0,11749.0,788.0,10961.0,0.688,1178.0,27.0,0.929,0.067,Existing Customer,F,Graduate,Single,$40K - $60K,Blue,136,0.99998
136,53.0,2.0,36.0,5.0,3.0,2.0,7753.0,2100.0,5653.0,0.8390000000000001,991.0,26.0,0.733,0.271,Existing Customer,M,High School,Divorced,$60K - $80K,Blue,137,0.9998299999999999
